date,stock_id,CashEarningsDistribution,CashExDividendTradingDate
2010-07-16,2303,0.5,2010-07-08
2011-07-30,2303,1.1116484,2011-07-22
2012-07-15,2303,0.49980232,2012-07-09
2013-07-14,2303,0.40639654,2013-07-08
2014-07-13,2303,0.01,2014-07-07
2015-07-20,2303,0.54969673,2015-07-14
2016-07-18,2303,0.56501906,2016-07-12
2017-07-17,2303,0.5,2017-07-11
2018-07-16,2303,0.71164307,2018-07-10
2019-07-22,2303,0.58989396,2019-07-16
2020-07-21,2303,0.80395653,2020-07-15
2021-07-30,2303,1.5998882,2021-07-22
2022-06-28,2303,0,2022-06-22
2023-07-03,2303,3.60046348,2023-06-27
2010-07-13,6505,3.8,2010-07-07
2011-07-12,6505,3.9,2011-07-06
2012-07-10,6505,2,2012-07-04
2013-07-08,6505,0.26,2013-07-02
2014-07-07,6505,2.5,2014-07-01
2015-07-09,6505,0.85,2015-07-02
2016-07-10,6505,4,2016-07-04
2017-07-04,6505,6,2017-06-28
2018-07-10,6505,6.3,2018-07-04
2019-06-26,6505,4.8,2019-06-20
2020-06-23,6505,2.9,2020-06-17
2021-07-31,6505,0.59,2021-07-23
2022-06-27,6505,3.8,2022-06-21
2023-06-19,6505,1.1,2023-06-13
2010-07-15,2885,0.9,2010-07-08
2011-08-31,2885,0,
2012-07-31,2885,0.2,2012-07-25
2013-07-29,2885,0.55,2013-07-23
2014-07-02,2885,0.65,2014-06-26
2014-08-26,2885,0,
2015-07-22,2885,0.617839,2015-07-16
2015-08-20,2885,0,
2016-07-23,2885,0.360995,2016-07-15
2017-07-22,2885,0.44777,2017-07-14
2018-07-10,2885,0.556315,2018-07-04
2019-07-08,2885,0.9,2019-07-02
2020-07-05,2885,0.65,2020-06-29
2020-08-23,2885,0,
2021-07-17,2885,1.2,2021-07-09
2022-07-04,2885,1.5,2022-06-28
2022-08-20,2885,0,
2023-07-07,2885,0.8,2023-06-29
2023-08-19,2885,0,
2010-08-16,4904,2.8,2010-08-10
2011-07-25,4904,2.5,2011-07-19
2012-07-30,4904,2.469,2012-07-24
2013-07-30,4904,2.928,2013-07-24
2014-07-22,4904,3.164,2014-07-16
2015-07-21,4904,3.167,2015-07-15
2016-07-18,4904,3.174,2016-07-12
2017-07-18,4904,3.129,2017-07-12
2018-07-17,4904,3.037,2018-07-11
2019-07-22,4904,3.75,2019-07-16
2020-07-20,4904,3.209,2020-07-14
2021-07-31,4904,2.234,2021-07-23
2022-07-20,4904,2.349,2022-07-14
2023-07-11,4904,2.379,2023-07-05
2010-08-10,2912,3.6,2010-08-04
2011-08-10,2912,4.9,2011-08-04
2012-08-13,2912,4.8,2012-08-07
2013-08-13,2912,4.85,2013-08-07
2014-08-12,2912,5.15,2014-08-06
2015-08-10,2912,7,2015-08-04
2016-08-09,2912,7.2,2016-08-03
2017-08-08,2912,8,2017-08-02
2018-08-07,2912,25,2018-08-01
2019-08-06,2912,8.8,2019-07-31
2020-08-11,2912,9,2020-08-05
2021-09-13,2912,9,2021-09-07
2022-08-09,2912,7.21,2022-08-03
2023-08-09,2912,9,2023-08-03
2010-10-03,2601,1.01165957,2010-09-27
2011-08-17,2601,1.00506653,2011-08-11
2012-08-26,2601,0.5,2012-08-20
2013-01-02,2601,0,
2013-08-28,2601,0.25453916,2013-08-22
2015-09-14,2601,0.25,2015-09-08
2017-03-31,2601,0,
2019-09-24,2601,0.1,2019-09-18
2020-11-07,2601,0.1,2020-10-30
2010-07-24,2385,3.5,2010-07-16
2011-07-04,2385,4,2011-06-28
2011-07-15,2385,0,
2012-07-04,2385,4,2012-06-28
2012-07-17,2385,0,
2013-07-06,2385,4.1,2013-06-28
2013-07-20,2385,0,
2014-06-24,2385,4.6,2014-06-18
2014-07-15,2385,0,
2015-07-12,2385,4.65,2015-07-06
2015-08-17,2385,0,
2016-07-03,2385,4.3,2016-06-27
2016-07-27,2385,0,
2017-06-28,2385,4.25,2017-06-22
2017-07-18,2385,0,
2018-06-27,2385,4.45,2018-06-21
2018-07-25,2385,0,
2019-07-01,2385,3.8,2019-06-25
2020-04-16,2385,5.9,2020-04-09
2021-04-17,2385,5.5,2021-04-09
2022-06-22,2385,6.1,2022-06-16
2023-06-24,2385,7.5,2023-06-16
2010-08-31,2317,2,2010-08-25
2011-08-06,2317,1,2011-07-29
2012-08-18,2317,1.5,2012-08-10
2013-09-15,2317,1.5,2013-09-09
2014-09-03,2317,1.8,2014-08-28
2015-09-10,2317,3.8,2015-09-03
2016-09-10,2317,4,2016-09-02
2017-07-21,2317,4.5,2017-07-13
2018-07-31,2317,2,2018-07-25
2019-07-31,2317,4,2019-07-25
2020-07-31,2317,4.2,2020-07-23
2021-07-30,2317,4,2021-07-22
2022-07-10,2317,5.2,2022-07-04
2023-07-10,2317,5.3,2023-07-04
2010-08-04,2891,0.64,2010-07-29
2010-09-06,2891,0,
2011-07-25,2891,0.73,2011-07-19
2011-09-19,2891,0,
2012-02-18,2891,0,
2012-07-23,2891,0.4,2012-07-17
2012-09-24,2891,0,
2013-02-25,2891,0,
2013-07-23,2891,0.71,2013-07-17
2013-08-25,2891,0,
2014-07-15,2891,0.38,2014-07-09
2014-09-24,2891,0,
2015-08-14,2891,0.81,2015-08-06
2016-08-06,2891,0.81,2016-07-29
2016-10-18,2891,0,
2017-07-23,2891,0.85,2017-07-17
2017-11-06,2891,0,
2018-07-15,2891,1.08,2018-07-09
2019-02-19,2891,0,
2019-07-21,2891,1,2019-07-15
2020-07-19,2891,1,2020-07-13
2021-08-22,2891,1.05,2021-08-16
2022-07-20,2891,1.25,2022-07-14
2023-08-12,2891,1.00002571,2023-08-04
2010-08-01,2002,1.01,2010-07-26
2011-07-24,2002,1.99,2011-07-18
2012-08-01,2002,1.01,2012-07-26
2013-08-03,2002,0.4,2013-07-26
2014-08-20,2002,0.7,2014-08-14
2015-08-01,2002,1,2015-07-24
2016-08-01,2002,0.5,2016-07-26
2017-08-01,2002,0.85,2017-07-26
2018-08-01,2002,0.88,2018-07-26
2019-08-01,2002,1,2019-07-25
2020-08-01,2002,0.5,2020-07-24
2021-09-06,2002,0.3,2021-08-31
2022-08-01,2002,3.1,2022-07-26
2023-08-01,2002,1,2023-07-26
2012-08-08,5880,0.0358,2012-08-02
2013-08-20,5880,0.4,2013-08-14
2014-08-25,5880,0.5,2014-08-19
2015-02-08,5880,0,
2015-08-19,5880,0.5,2015-08-13
2016-08-16,5880,0.3,2016-08-10
2017-08-22,5880,0.75,2017-08-16
2018-08-27,5880,0.75,2018-08-21
2019-08-20,5880,0.75,2019-08-14
2020-08-18,5880,0.85,2020-08-12
2021-08-17,5880,0.85,2021-08-11
2021-09-14,5880,0,
2022-08-16,5880,1,2022-08-10
2023-08-15,5880,0.12,2023-08-09
2011-07-23,2610,0.4,2011-07-15
2012-01-15,2610,0,
2016-07-31,2610,0.45852238,2016-07-25
2018-08-14,2610,0.218182,2018-08-08
2019-07-29,2610,0.20960737,2019-07-23
2022-07-12,2610,0.83145736,2022-07-06
2023-07-16,2610,0.4602191,2023-07-10
2011-07-13,2409,0.4,2011-07-07
2014-08-01,2409,0.01,2014-07-24
2015-07-12,2409,0.5,2015-07-06
2016-07-15,2409,0.35,2016-07-07
2017-07-09,2409,0.56,2017-07-03
2018-07-20,2409,1.5,2018-07-12
2019-07-19,2409,0.5,2019-07-11
2021-07-02,2409,0.3,2021-06-24
2022-07-10,2409,1,2022-07-04
2023-08-18,2409,0,2023-08-10
2010-08-18,2880,0.2,2010-08-12
2011-08-17,2880,0.3,2011-08-11
2011-11-13,2880,0,
2012-08-21,2880,0.5,2012-08-15
2013-08-21,2880,0.5,2013-08-15
2014-08-22,2880,0.7,2014-08-14
2015-08-21,2880,0.62,2015-08-13
2016-08-25,2880,0.63,2016-08-18
2017-08-25,2880,0.7,2017-08-17
2018-08-24,2880,0.5,2018-08-16
2019-08-23,2880,0.545,2019-08-15
2020-08-21,2880,0.5603,2020-08-13
2021-09-24,2880,0.265,2021-09-16
2022-08-19,2880,0.78,2022-08-11
2023-08-25,2880,0.59,2023-08-17
2010-07-20,2308,4.19902898,2010-07-14
2011-08-01,2308,5.19546489,2011-07-26
2012-07-25,2308,3.49448218,2012-07-19
2013-07-14,2308,5.29101501,2013-07-08
2014-07-10,2308,5.8,2014-07-03
2015-07-06,2308,6.7,2015-06-30
2015-11-22,2308,0,
2016-07-13,2308,5,2016-07-07
2017-07-09,2308,5,2017-07-03
2018-07-08,2308,5,2018-07-02
2019-07-08,2308,5,2019-07-02
2020-07-08,2308,5,2020-07-02
2021-07-26,2308,5.5,2021-07-20
2022-07-05,2308,5.5,2022-06-29
2023-07-08,2308,9.84,2023-06-30
2010-07-19,1303,1.9,2010-07-13
2011-07-19,1303,4.7,2011-07-13
2012-07-17,1303,2.1,2012-07-11
2013-08-13,1303,0.3,2013-08-07
2014-07-15,1303,1.9,2014-07-09
2015-07-17,1303,2.3,2015-07-09
2016-07-25,1303,3.3,2016-07-19
2017-07-24,1303,4.5,2017-07-18
2018-07-16,1303,5.1,2018-07-10
2019-07-09,1303,5,2019-07-03
2020-07-13,1303,2.2,2020-07-07
2021-08-03,1303,2.4,2021-07-28
2022-07-12,1303,7.5,2022-07-06
2023-07-05,1303,3,2023-06-29
2010-08-31,1402,1.3,2010-08-25
2011-08-31,1402,2,2011-08-25
2012-08-28,1402,1.7,2012-08-22
2013-09-02,1402,1.3,2013-08-27
2014-09-04,1402,1.3,2014-08-28
2015-08-05,1402,1.2,2015-07-30
2016-07-22,1402,1,2016-07-14
2017-07-28,1402,0.8,2017-07-20
2018-07-27,1402,1.2,2018-07-19
2019-07-27,1402,1.8,2019-07-19
2020-08-02,1402,1.5,2020-07-27
2021-08-07,1402,1.35,2021-07-30
2022-08-03,1402,1.5,2022-07-28
2023-07-23,1402,1.35,2023-07-17
2011-07-19,3703,0.6,2011-07-13
2012-06-29,3703,0.5,2012-06-21
2013-08-19,3703,0.5,2013-08-13
2014-08-22,3703,0.5,2014-08-14
2016-08-15,3703,0.5,2016-08-09
2017-08-07,3703,0.5,2017-08-01
2018-08-10,3703,0.6,2018-08-02
2019-08-09,3703,0.9,2019-08-01
2020-08-10,3703,0.5,2020-08-04
2021-07-09,3703,1.4,2021-07-01
2022-07-08,3703,1.68,2022-06-30
2023-07-08,3703,2.5,2023-06-30
2010-08-14,3008,10,2010-08-06
2011-08-11,3008,13.5,2011-08-04
2012-08-15,3008,17,2012-08-09
2013-08-31,3008,17,2013-08-23
2014-08-27,3008,28.5,2014-08-21
2015-08-23,3008,51,2015-08-17
2016-08-24,3008,63.5,2016-08-18
2017-08-23,3008,63.5,2017-08-17
2018-08-22,3008,72.5,2018-08-16
2019-08-12,3008,68,2019-08-06
2020-08-17,3008,79,2020-08-11
2021-08-16,3008,91.5,2021-08-10
2022-01-18,3008,31.15608212,2022-01-12
2022-03-21,3008,39,2022-03-15
2022-08-25,3008,39.5,2022-08-18
2023-03-24,3008,46,2023-03-16
2023-08-24,3008,26.5,2023-08-17
2011-08-29,2618,1,2011-08-23
2011-09-20,2618,0,
2014-12-17,2618,0,
2016-08-30,2618,0.3,2016-08-24
2017-09-04,2618,0.2,2017-08-29
2018-09-17,2618,0.2,2018-09-11
2018-12-11,2618,0,
2019-09-13,2618,0.49727797,2019-09-05
2020-09-11,2618,0.25,2020-09-03
2021-09-15,2618,0,
2022-08-12,2618,0.5916945,2022-08-04
2023-07-22,2618,0.79907052,2023-07-14
2011-09-28,2609,1.25,2011-09-22
2017-10-06,2609,0,
2022-07-03,2609,20,2022-06-27
2023-07-10,2609,20,2023-07-04
2010-07-11,2887,0,
2010-08-18,2887,0,
2011-08-06,2887,0.23,2011-07-29
2012-07-25,2887,0,
2012-08-12,2887,0.22387184,2012-08-06
2013-08-18,2887,0.22272568,2013-08-12
2014-02-25,2887,0,
2014-08-25,2887,0.42575295,2014-08-19
2015-07-19,2887,0.0508367,2015-07-13
2016-08-30,2887,0.48241645,2016-08-24
2016-11-29,2887,0,
2017-07-17,2887,0,
2017-08-22,2887,0.52514935,2017-08-16
2018-07-10,2887,0,
2018-08-28,2887,0.54190797,2018-08-22
2018-10-16,2887,0,
2019-07-15,2887,0,
2019-08-18,2887,0.5083501,2019-08-12
2020-08-17,2887,0.56551766,2020-08-11
2021-09-13,2887,0.55521108,2021-09-07
2022-07-04,2887,0,
2022-08-30,2887,0.605,2022-08-24
2023-08-01,2887,0.51,2023-07-26
2010-07-23,1301,4,2010-07-15
2011-07-17,1301,6.8,2011-07-11
2012-07-15,1301,4,2012-07-09
2013-07-23,1301,1.2,2013-07-17
2014-07-11,1301,1.9,2014-07-03
2015-07-21,1301,1.7,2015-07-15
2016-07-19,1301,3.6,2016-07-13
2017-07-18,1301,4.6,2017-07-12
2018-07-17,1301,5.7,2018-07-11
2019-07-08,1301,5.8,2019-07-02
2020-07-08,1301,4.4,2020-07-02
2021-08-07,1301,2.4,2021-07-30
2022-07-11,1301,8.2,2022-07-05
2023-07-03,1301,4.2,2023-06-27
2012-06-04,5871,2.3,2012-05-29
2013-07-02,5871,2,2013-06-26
2013-09-02,5871,0,
2014-08-03,5871,2,2014-07-28
2015-08-03,5871,2.8,2015-07-28
2016-08-08,5871,3.1,2016-08-02
2017-08-04,5871,3.4,2017-07-27
2018-08-06,5871,3.8,2018-07-31
2019-08-06,5871,4.2,2019-07-31
2020-06-29,5871,4.6,2020-06-23
2020-08-19,5871,0,
2021-08-11,5871,5,2021-08-05
2022-06-28,5871,6,2022-06-22
2023-08-07,5871,6.4,2023-08-01
2010-07-20,1101,1.8,2010-07-14
2010-12-04,1101,0,
2011-08-01,1101,2,2011-07-26
2012-08-01,1101,1.9,2012-07-26
2013-07-31,1101,1.9,2013-07-25
2014-07-23,1101,2.3,2014-07-17
2015-07-29,1101,2.49,2015-07-23
2016-07-31,1101,1.33,2016-07-25
2017-07-31,1101,1.45,2017-07-25
2018-08-01,1101,1.5,2018-07-26
2018-11-26,1101,0,
2019-08-19,1101,3.30513111,2019-08-13
2020-08-18,1101,2.50081632,2020-08-12
2021-08-18,1101,3.36811984,2021-08-12
2022-07-27,1101,0.99928258,2022-07-21
2023-07-17,1101,0.49971973,2023-07-11
2010-08-20,2301,2.24979687,2010-08-12
2011-08-14,2301,2.87,2011-08-08
2012-08-13,2301,2.27,2012-08-07
2013-08-13,2301,2.34061583,2013-08-07
2014-08-06,2301,2.71195158,2014-07-31
2015-08-16,2301,1.97,2015-08-10
2016-08-30,2301,2.1860079,2016-08-24
2017-08-16,2301,2.92,2017-08-10
2018-08-18,2301,0.41,2018-08-10
2019-07-28,2301,2.92,2019-07-22
2020-07-03,2301,3.2,2020-06-23
2021-07-05,2301,3.4,2021-06-29
2021-08-22,2301,2,2021-08-16
2022-03-26,2301,2.5,2022-03-18
2022-08-22,2301,1.5,2022-08-16
2023-03-23,2301,3,2023-03-16
2023-08-22,2301,2,2023-08-16
2010-07-29,2382,3.68384028,2010-07-22
2012-08-07,2382,3.99812339,2012-08-01
2013-08-07,2382,3.99978622,2013-08-01
2014-08-09,2382,3.8,2014-08-01
2015-08-04,2382,4,2015-07-29
2016-08-07,2382,3.8,2016-08-01
2017-08-06,2382,3.5,2017-07-31
2018-08-05,2382,3.4,2018-07-30
