date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2010-07-16,2303,98年,0,0,,0,0,0,0,0.5,0,2010-07-08,,965002526,0,0,0,9583932,0,2010-06-24,17:21:39
2011-07-30,2303,99年,0,0,,0,0,0,0,1.1116484,0,2011-07-22,,2476610586,0,0,0,21401774,0,2011-07-08,17:10:06
2012-07-15,2303,100年,0,0,,0,0,0,0,0.49980232,0,2012-07-09,,1618217302,0,0,0,9303426,0,2012-06-22,17:27:37
2013-07-14,2303,101年,0,0,,0,0,0,0,0.40639654,0,2013-07-08,,1040179328,0,0,0,6950282,0,2013-06-21,11:18:03
2014-07-13,2303,102年,0,0,,0,0,0,0,0.01,0.49,2014-07-07,,1162655682,0,0,0,11746038,0,2014-06-18,17:42:16
2015-07-20,2303,103年,0,0,,0,0,0,0,0.54969673,0,2015-07-14,2015-08-13,1458956333,0,0,0,10811967,0,2015-06-25,15:49:28
2016-07-18,2303,104年,0,0,,0,0,0,0,0.56501906,0,2016-07-12,2016-08-11,0,0,0,0,0,0,2016-06-27,11:21:38
2017-07-17,2303,105年,0,0,,0,0,0,0,0.5,0,2017-07-11,2017-08-10,0,0,0,0,0,0,2017-06-21,18:15:05
2018-07-16,2303,106年,0,0,,0,0,0,0,0.71164307,0,2018-07-10,2018-07-31,0,0,0,0,0,0,2018-06-22,16:46:05
2019-07-22,2303,107年,0,0,,0,0,0,0,0.58989396,0,2019-07-16,2019-08-06,0,0,0,0,0,11724318715,2019-06-26,16:11:32
2020-07-21,2303,108年,0,0,,0,0,0,0,0.80395653,0,2020-07-15,2020-08-05,0,0,0,0,0,12146371493,2020-06-29,17:32:09
2021-07-30,2303,109年,0,0,,0,0,0,0,1.5998882,0,2021-07-22,2021-08-13,0,0,0,0,0,12423269493,2021-07-08,11:20:05
2022-06-28,2303,110年,0,0,,0,0,0,0,0,3,2022-06-22,2022-07-14,0,0,0,0,0,12482123484,2022-06-02,17:30:05
2023-07-03,2303,111年,0,0,,0,0,0,0,3.60046348,0,2023-06-27,2023-07-19,0,0,0,0,0,12503139241,2023-06-08,14:29:15
2010-07-13,6505,99年,0,0,,0,0,0,0,3.8,0,2010-07-07,,65083930,0,0,0,0,0,2010-06-21,17:48:10
2011-07-12,6505,100年,0,0,,0,0,0,0,3.9,0,2011-07-06,,43667356,0,0,0,0,0,2011-06-17,17:40:00
2012-07-10,6505,101年,0,0,,0,0,0,0,2,0,2012-07-04,,34218792,0,0,0,0,0,2012-06-18,18:04:59
2013-07-08,6505,101年,0,0,,0,0,0,0,0.26,0,2013-07-02,,166298,0,0,0,0,0,2013-06-14,12:02:34
