date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2020-11-23,00878,109,0,0,,0,0,0,0,0.05,0,2020-11-17,2020-12-18,0,0,0,0,0,0,,
2021-03-06,00878,110,0,0,,0,0,0,0,0.15,0,2021-02-25,2021-03-31,0,0,0,0,0,0,,
2021-05-24,00878,110,0,0,,0,0,0,0,0.25,0,2021-05-18,2021-06-21,0,0,0,0,0,0,,
2021-08-23,00878,110,0,0,,0,0,0,0,0.3,0,2021-08-17,2021-09-17,0,0,0,0,0,0,,
2021-11-22,00878,110,0,0,,0,0,0,0,0.28,0,2021-11-16,2021-12-17,0,0,0,0,0,0,,
2022-02-28,00878,111,0,0,,0,0,0,0,0.3,0,2022-02-22,2022-03-28,0,0,0,0,0,0,,
2022-05-24,00878,111,0,0,,0,0,0,0,0.32,0,2022-05-18,2022-06-21,0,0,0,0,0,0,,
2022-08-22,00878,111,0,0,,0,0,0,0,0.28,0,2022-08-16,2022-09-19,0,0,0,0,0,0,,
2022-11-22,00878,111,0,0,,0,0,0,0,0.28,0,2022-11-16,2022-12-19,0,0,0,0,0,0,,
2023-02-22,00878,112,0,0,,0,0,0,0,0.27,0,2023-02-16,2023-03-22,0,0,0,0,0,0,,
2023-05-23,00878,112,0,0,,0,0,0,0,0.27,0,2023-05-17,2023-06-12,0,0,0,0,0,0,,
2023-08-22,00878,112,0,0,,0,0,0,0,0.35,0,2023-08-16,2023-09-11,0,0,0,0,0,0,,
2023-11-24,00878,112,0,0,,0,0,0,0,0.35,0,2023-11-16,2023-12-12,0,0,0,0,0,0,,
2010-10-31,0050,99,0,0,,0,0,0,0,2.2,0,2010-10-25,2010-11-26,0,0,0,0,0,0,,
2011-11-01,0050,100,0,0,,0,0,0,0,1.95,0,2011-10-26,2011-11-29,0,0,0,0,0,0,,
2012-10-30,0050,101,0,0,,0,0,0,0,1.85,0,2012-10-24,2012-11-27,0,0,0,0,0,0,,
2013-10-30,0050,102,0,0,,0,0,0,0,1.35,0,2013-10-24,2013-11-27,0,0,0,0,0,0,,
